Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/10/2023 00:00:00;77.00;;0.00;;;;;;;
01/10/2023 00:30:00;77.00;;0.00;;;;;;;
01/10/2023 01:00:00;76.00;;0.00;;;;;;;
01/10/2023 01:30:00;75.00;;0.00;;;;;;;
01/10/2023 02:00:00;74.00;;0.00;;;;;;;
01/10/2023 02:30:00;75.00;;0.00;;;;;;;
01/10/2023 03:00:00;74.00;;0.00;;;;;;;
01/10/2023 03:30:00;74.00;;0.00;;;;;;;
01/10/2023 04:00:00;74.00;;0.00;;;;;;;
01/10/2023 04:30:00;74.00;;0.00;;;;;;;
01/10/2023 05:00:00;74.00;;0.00;;;;;;;
01/10/2023 05:30:00;74.00;;0.00;;;;;;;
01/10/2023 06:00:00;74.00;;0.00;;;;;;;
01/10/2023 06:30:00;74.00;;0.00;;;;;;;
01/10/2023 07:00:00;74.00;;0.00;;;;;;;
01/10/2023 07:30:00;76.00;;0.00;;;;;;;
01/10/2023 08:00:00;76.00;;0.00;;;;;;;
01/10/2023 08:30:00;75.00;;0.00;;;;;;;
01/10/2023 09:00:00;76.00;;0.00;;;;;;;
01/10/2023 09:30:00;75.00;;0.00;;;;;;;
01/10/2023 10:00:00;76.00;;0.00;;;;;;;
01/10/2023 10:30:00;75.00;;0.00;;;;;;;
01/10/2023 11:00:00;74.00;;0.00;;;;;;;
01/10/2023 11:30:00;74.00;;0.00;;;;;;;
01/10/2023 12:00:00;73.00;;0.00;;;;;;;
01/10/2023 12:30:00;73.00;;0.00;;;;;;;
01/10/2023 13:00:00;73.00;;0.00;;;;;;;
01/10/2023 13:30:00;73.00;;0.00;;;;;;;
01/10/2023 14:00:00;72.00;;0.00;;;;;;;
01/10/2023 14:30:00;72.00;;0.00;;;;;;;
01/10/2023 15:00:00;72.00;;0.00;;;;;;;
01/10/2023 15:30:00;71.00;;0.00;;;;;;;
01/10/2023 16:00:00;71.00;;0.00;;;;;;;
01/10/2023 16:30:00;71.00;;0.00;;;;;;;
01/10/2023 17:00:00;71.00;;0.00;;;;;;;
01/10/2023 17:30:00;71.00;;0.00;;;;;;;
01/10/2023 18:00:00;65.00;;0.00;;;;;;;
01/10/2023 18:30:00;72.00;;0.00;;;;;;;
01/10/2023 19:00:00;72.00;;0.00;;;;;;;
01/10/2023 19:30:00;72.00;;0.00;;;;;;;
01/10/2023 20:00:00;71.00;;0.00;;;;;;;
01/10/2023 20:30:00;70.00;;0.00;;;;;;;
01/10/2023 21:00:00;69.00;;0.00;;;;;;;
01/10/2023 21:30:00;70.00;;0.00;;;;;;;
01/10/2023 22:00:00;69.00;;0.00;;;;;;;
01/10/2023 22:30:00;69.00;;0.00;;;;;;;
01/10/2023 23:00:00;68.00;;0.00;;;;;;;
01/10/2023 23:30:00;68.00;;0.00;;;;;;;
02/10/2023 00:00:00;68.00;;0.00;;;;;;;
02/10/2023 00:30:00;69.00;;0.00;;;;;;;
02/10/2023 01:00:00;69.00;;0.00;;;;;;;
02/10/2023 01:30:00;68.00;;0.00;;;;;;;
02/10/2023 02:00:00;68.00;;0.00;;;;;;;
02/10/2023 02:30:00;68.00;;0.00;;;;;;;
02/10/2023 03:00:00;67.00;;0.00;;;;;;;
02/10/2023 03:30:00;67.00;;0.00;;;;;;;
02/10/2023 04:00:00;66.00;;0.00;;;;;;;
02/10/2023 04:30:00;66.00;;0.00;;;;;;;
02/10/2023 05:00:00;66.00;;0.00;;;;;;;
02/10/2023 05:30:00;65.00;;0.00;;;;;;;
02/10/2023 06:00:00;65.00;;0.00;;;;;;;
02/10/2023 06:30:00;65.00;;0.00;;;;;;;
02/10/2023 07:00:00;66.00;;0.00;;;;;;;
02/10/2023 07:30:00;52.00;;0.00;;;;;;;
02/10/2023 08:00:00;49.00;;0.00;;;;;;;
02/10/2023 08:30:00;63.00;;0.00;;;;;;;
02/10/2023 09:00:00;68.00;;0.00;;;;;;;
02/10/2023 09:30:00;77.00;;0.00;;;;;;;
02/10/2023 10:00:00;71.00;;0.00;;;;;;;
02/10/2023 10:30:00;67.00;;0.00;;;;;;;
02/10/2023 11:00:00;64.00;;0.00;;;;;;;
02/10/2023 11:30:00;63.00;;0.00;;;;;;;
02/10/2023 12:00:00;63.00;;0.00;;;;;;;
02/10/2023 12:30:00;63.00;;0.00;;;;;;;
02/10/2023 13:00:00;64.00;;0.00;;;;;;;
02/10/2023 13:30:00;65.00;;0.00;;;;;;;
02/10/2023 14:00:00;64.00;;0.00;;;;;;;
02/10/2023 14:30:00;64.00;;0.00;;;;;;;
02/10/2023 15:00:00;63.00;;0.00;;;;;;;
02/10/2023 15:30:00;63.00;;0.00;;;;;;;
02/10/2023 16:00:00;63.00;;0.00;;;;;;;
02/10/2023 16:30:00;63.00;;0.00;;;;;;;
02/10/2023 17:00:00;62.00;;0.00;;;;;;;
02/10/2023 17:30:00;62.00;;0.00;;;;;;;
02/10/2023 18:00:00;62.00;;0.00;;;;;;;
02/10/2023 18:30:00;62.00;;0.00;;;;;;;
02/10/2023 19:00:00;62.00;;0.00;;;;;;;
02/10/2023 19:30:00;62.00;;0.00;;;;;;;
02/10/2023 20:00:00;61.00;;0.00;;;;;;;
02/10/2023 20:30:00;61.00;;0.00;;;;;;;
02/10/2023 21:00:00;61.00;;0.00;;;;;;;
02/10/2023 21:30:00;61.00;;0.00;;;;;;;
02/10/2023 22:00:00;60.00;;0.00;;;;;;;
02/10/2023 22:30:00;60.00;;0.00;;;;;;;
02/10/2023 23:00:00;60.00;;0.00;;;;;;;
02/10/2023 23:30:00;60.00;;0.00;;;;;;;
03/10/2023 00:00:00;60.00;;0.00;;;;;;;
03/10/2023 00:30:00;59.00;;0.00;;;;;;;
